Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_D_Optical_18Tx_14Tx4Rx\Project Outputs for Digital_Optical_18Tx_14Tx4Rx\Rev08\Pick Place\Pick Place for Digital_Optical(18Rx).csv

========================================================================================================================
File Design Information:

Date:       20.02.25
Time:       22:30
Revision:   d78d63a89c3882aa3e7ec145030c21213b8a2f46
Variant:    18Rx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"R3A","R_0603_N","122.2000","122.2000","93.3250","93.3250","122.2000","94.1250","270","0R","TopLayer",""
"R2A","R_0603_N","94.0000","94.0000","93.3250","93.3250","94.0000","92.5250","90","0R","TopLayer",""
"R1A","R_0603_N","99.3090","99.3090","93.3230","93.3230","99.3090","92.5230","90","0R","TopLayer",""
"R3L","R_0603_N","122.2000","122.2000","37.9000","37.9000","122.2000","38.7000","270","0R","TopLayer",""
"R18Q","R_0603_N","107.1000","107.1000","11.3000","11.3000","107.1000","10.5000","90","2k","TopLayer",""
"R17Q","R_0603_N","116.0000","116.0000","11.3000","11.3000","116.0000","10.5000","90","2k","TopLayer",""
"R13Q","R_0603_N","100.8090","100.8090","11.2980","11.2980","100.8090","12.0980","270","43k","TopLayer",""
"R11Q","R_0603_N","114.4000","114.4000","11.3000","11.3000","114.4000","12.1000","270","680R","TopLayer",""
"R9Q","R_0603_N","92.4000","92.4000","11.3000","11.3000","92.4000","12.1000","270","680R","TopLayer",""
"R3Q","R_0603_N","122.3000","122.3000","11.3000","11.3000","122.3000","12.1000","270","0R","TopLayer",""
"R2Q","R_0603_N","94.1000","94.1000","11.3000","11.3000","94.1000","10.5000","90","0R","TopLayer",""
"R1Q","R_0603_N","99.4090","99.4090","11.2980","11.2980","99.4090","10.4980","90","0R","TopLayer",""
"R3B","R_0603_N","122.2750","122.2750","88.6750","88.6750","122.2750","89.4750","270","0R","TopLayer",""
"R2B","R_0603_N","94.0750","94.0750","88.6750","88.6750","94.0750","87.8750","90","0R","TopLayer",""
"R1B","R_0603_N","99.3850","99.3850","88.6730","88.6730","99.3850","87.8730","90","0R","TopLayer",""
"R2R","R_0603_N","94.1000","94.1000","6.7000","6.7000","94.1000","5.9000","90","0R","TopLayer",""
"R2P","R_0603_N","94.1000","94.1000","17.1750","17.1750","94.1000","16.3750","90","0R","TopLayer",""
"R2O","R_0603_N","94.1000","94.1000","21.6000","21.6000","94.1000","20.8000","90","0R","TopLayer",""
"R2N","R_0603_N","94.1000","94.1000","27.8250","27.8250","94.1000","27.0250","90","0R","TopLayer",""
"R2M","R_0603_N","94.0830","94.0830","32.1580","32.1580","94.0830","31.3580","90","0R","TopLayer",""
"R2L","R_0603_N","94.0000","94.0000","37.9000","37.9000","94.0000","37.1000","90","0R","TopLayer",""
"R2K","R_0603_N","94.0000","94.0000","42.7000","42.7000","94.0000","41.9000","90","0R","TopLayer",""
"R2J","R_0603_N","94.0000","94.0000","48.6250","48.6250","94.0000","47.8250","90","0R","TopLayer",""
"R2I","R_0603_N","94.0000","94.0000","52.9000","52.9000","94.0000","52.1000","90","0R","TopLayer",""
"R2H","R_0603_N","94.0000","94.0000","58.2000","58.2000","94.0000","57.4000","90","0R","TopLayer",""
"R2G","R_0603_N","93.9860","93.9860","62.8360","62.8360","93.9860","62.0360","90","0R","TopLayer",""
"R2F","R_0603_N","94.0000","94.0000","68.2250","68.2250","94.0000","67.4250","90","0R","TopLayer",""
"R2E","R_0603_N","93.9610","93.9610","73.2360","73.2360","93.9610","72.4360","90","0R","TopLayer",""
"R2D","R_0603_N","94.0000","94.0000","78.7250","78.7250","94.0000","77.9250","90","0R","TopLayer",""
"R2C","R_0603_N","94.0000","94.0000","83.2250","83.2250","94.0000","82.4250","90","0R","TopLayer",""
"R1R","R_0603_N","99.4090","99.4090","6.6980","6.6980","99.4090","5.8980","90","0R","TopLayer",""
"R1P","R_0603_N","99.4090","99.4090","17.1730","17.1730","99.4090","16.3730","90","0R","TopLayer",""
"R1O","R_0603_N","99.4090","99.4090","21.5980","21.5980","99.4090","20.7980","90","0R","TopLayer",""
"R1N","R_0603_N","99.4090","99.4090","27.8230","27.8230","99.4090","27.0230","90","0R","TopLayer",""
"R1M","R_0603_N","99.3930","99.3930","32.1560","32.1560","99.3930","31.3560","90","0R","TopLayer",""
"R1L","R_0603_N","99.3090","99.3090","37.8980","37.8980","99.3090","37.0980","90","0R","TopLayer",""
"R1K","R_0603_N","99.3090","99.3090","42.6980","42.6980","99.3090","41.8980","90","0R","TopLayer",""
"R1J","R_0603_N","99.3100","99.3100","48.6230","48.6230","99.3100","47.8230","90","0R","TopLayer",""
"R1I","R_0603_N","99.3090","99.3090","52.8980","52.8980","99.3090","52.0980","90","0R","TopLayer",""
"R1H","R_0603_N","99.3090","99.3090","58.1980","58.1980","99.3090","57.3980","90","0R","TopLayer",""
"R1G","R_0603_N","99.2960","99.2960","62.8340","62.8340","99.2960","62.0340","90","0R","TopLayer",""
"R1F","R_0603_N","99.3090","99.3090","68.2230","68.2230","99.3090","67.4230","90","0R","TopLayer",""
"R1E","R_0603_N","99.2700","99.2700","73.2340","73.2340","99.2700","72.4340","90","0R","TopLayer",""
"R1D","R_0603_N","99.3100","99.3100","78.7230","78.7230","99.3100","77.9230","90","0R","TopLayer",""
"R1C","R_0603_N","99.3090","99.3090","83.2230","83.2230","99.3090","82.4230","90","0R","TopLayer",""
"R18R","R_0603_N","107.1000","107.1000","6.7000","6.7000","107.1000","5.9000","90","2k","TopLayer",""
"R18P","R_0603_N","107.1000","107.1000","17.1750","17.1750","107.1000","16.3750","90","2k","TopLayer",""
"R17R","R_0603_N","116.0000","116.0000","6.7000","6.7000","116.0000","5.9000","90","2k","TopLayer",""
"R17P","R_0603_N","116.0000","116.0000","17.1750","17.1750","116.0000","16.3750","90","2k","TopLayer",""
"R13R","R_0603_N","100.8090","100.8090","6.6980","6.6980","100.8090","7.4980","270","43k","TopLayer",""
"R13P","R_0603_N","100.8090","100.8090","17.1730","17.1730","100.8090","17.9730","270","43k","TopLayer",""
"R11R","R_0603_N","114.4000","114.4000","6.7000","6.7000","114.4000","7.5000","270","680R","TopLayer",""
"R11P","R_0603_N","114.4000","114.4000","17.1750","17.1750","114.4000","17.9750","270","680R","TopLayer",""
"R9R","R_0603_N","92.4000","92.4000","6.7000","6.7000","92.4000","7.5000","270","680R","TopLayer",""
"R9P","R_0603_N","92.4000","92.4000","17.1750","17.1750","92.4000","17.9750","270","680R","TopLayer",""
"R3R","R_0603_N","122.3000","122.3000","6.7000","6.7000","122.3000","7.5000","270","0R","TopLayer",""
"R3P","R_0603_N","122.3000","122.3000","17.1750","17.1750","122.3000","17.9750","270","0R","TopLayer",""
"R18O","R_0603_N","107.1000","107.1000","21.6000","21.6000","107.1000","20.8000","90","2k","TopLayer",""
"R18N","R_0603_N","107.1000","107.1000","27.8250","27.8250","107.1000","27.0250","90","2k","TopLayer",""
"R18M","R_0603_N","107.0830","107.0830","32.1580","32.1580","107.0830","31.3580","90","2k","TopLayer",""
"R18L","R_0603_N","107.0000","107.0000","37.9000","37.9000","107.0000","37.1000","90","2k","TopLayer",""
"R18K","R_0603_N","107.0000","107.0000","42.7000","42.7000","107.0000","41.9000","90","2k","TopLayer",""
"R18J","R_0603_N","107.0000","107.0000","48.6250","48.6250","107.0000","47.8250","90","2k","TopLayer",""
"R18I","R_0603_N","107.0000","107.0000","52.9000","52.9000","107.0000","52.1000","90","2k","TopLayer",""
"R18H","R_0603_N","107.0000","107.0000","58.2000","58.2000","107.0000","57.4000","90","2k","TopLayer",""
"R18G","R_0603_N","106.9860","106.9860","62.8360","62.8360","106.9860","62.0360","90","2k","TopLayer",""
"R18F","R_0603_N","107.0000","107.0000","68.2250","68.2250","107.0000","67.4250","90","2k","TopLayer",""
"R17O","R_0603_N","116.0000","116.0000","21.6000","21.6000","116.0000","20.8000","90","2k","TopLayer",""
"R17N","R_0603_N","116.0000","116.0000","27.8250","27.8250","116.0000","27.0250","90","2k","TopLayer",""
"R17M","R_0603_N","115.9830","115.9830","32.1580","32.1580","115.9830","31.3580","90","2k","TopLayer",""
"R17L","R_0603_N","115.9000","115.9000","37.9000","37.9000","115.9000","37.1000","90","2k","TopLayer",""
"R17K","R_0603_N","115.9000","115.9000","42.7000","42.7000","115.9000","41.9000","90","2k","TopLayer",""
"R17J","R_0603_N","115.9000","115.9000","48.6250","48.6250","115.9000","47.8250","90","2k","TopLayer",""
"R17I","R_0603_N","115.9000","115.9000","52.9000","52.9000","115.9000","52.1000","90","2k","TopLayer",""
"R17H","R_0603_N","115.9000","115.9000","58.2000","58.2000","115.9000","57.4000","90","2k","TopLayer",""
"R17G","R_0603_N","115.8860","115.8860","62.8360","62.8360","115.8860","62.0360","90","2k","TopLayer",""
"R17F","R_0603_N","115.9000","115.9000","68.2250","68.2250","115.9000","67.4250","90","2k","TopLayer",""
"R13O","R_0603_N","100.8090","100.8090","21.5980","21.5980","100.8090","22.3980","270","43k","TopLayer",""
"R13N","R_0603_N","100.8090","100.8090","27.8230","27.8230","100.8090","28.6230","270","43k","TopLayer",""
"R13M","R_0603_N","100.7930","100.7930","32.1560","32.1560","100.7930","32.9560","270","43k","TopLayer",""
"R13L","R_0603_N","100.7090","100.7090","37.8980","37.8980","100.7090","38.6980","270","43k","TopLayer",""
"R13K","R_0603_N","100.7090","100.7090","42.6980","42.6980","100.7090","43.4980","270","43k","TopLayer",""
"R13J","R_0603_N","100.7100","100.7100","48.6230","48.6230","100.7100","49.4230","270","43k","TopLayer",""
"R13I","R_0603_N","100.7090","100.7090","52.8980","52.8980","100.7090","53.6980","270","43k","TopLayer",""
"R13H","R_0603_N","100.7090","100.7090","58.1980","58.1980","100.7090","58.9980","270","43k","TopLayer",""
"R13G","R_0603_N","100.6960","100.6960","62.8340","62.8340","100.6960","63.6340","270","43k","TopLayer",""
"R13F","R_0603_N","100.7090","100.7090","68.2230","68.2230","100.7090","69.0230","270","43k","TopLayer",""
"R11O","R_0603_N","114.4000","114.4000","21.6000","21.6000","114.4000","22.4000","270","680R","TopLayer",""
"R11N","R_0603_N","114.4000","114.4000","27.8250","27.8250","114.4000","28.6250","270","680R","TopLayer",""
"R11M","R_0603_N","114.3830","114.3830","32.1580","32.1580","114.3830","32.9580","270","680R","TopLayer",""
"R11L","R_0603_N","114.3000","114.3000","37.9000","37.9000","114.3000","38.7000","270","680R","TopLayer",""
"R11K","R_0603_N","114.3000","114.3000","42.7000","42.7000","114.3000","43.5000","270","680R","TopLayer",""
"R11J","R_0603_N","114.3000","114.3000","48.6250","48.6250","114.3000","49.4250","270","680R","TopLayer",""
"R11I","R_0603_N","114.3000","114.3000","52.9000","52.9000","114.3000","53.7000","270","680R","TopLayer",""
"R11H","R_0603_N","114.3000","114.3000","58.2000","58.2000","114.3000","59.0000","270","680R","TopLayer",""
"R11G","R_0603_N","114.2860","114.2860","62.8360","62.8360","114.2860","63.6360","270","680R","TopLayer",""
"R11F","R_0603_N","114.3000","114.3000","68.2250","68.2250","114.3000","69.0250","270","680R","TopLayer",""
